"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPS8",2.33896137762894e-14,0.604797402315448,0.994,0.877,5.02034670094277e-10,"5","RPS8"
"EEF1D",3.33090504582428e-14,0.638255926002486,0.541,0.306,7.14945459035724e-10,"5","EEF1D"
"SH3BGRL32",3.75642210720501e-14,0.558548809667969,0.711,0.394,8.06278441090483e-10,"5","SH3BGRL3"
"ARHGDIB",5.30582348835903e-14,0.861008916243321,0.255,0.118,1.13884195354138e-09,"5","ARHGDIB"
"ANKRD12",6.04535110819448e-14,0.962454342551017,0.412,0.258,1.29757416186286e-09,"5","ANKRD12"
"MACF11",8.78597925305921e-14,0.996028570123399,0.318,0.157,1.88582258687663e-09,"5","MACF1"
"FTH12",2.21034658358165e-13,0.434336991752468,0.984,0.772,4.74428790699965e-09,"5","FTH1"
"N4BP2L2",2.32684725405056e-13,1.00806681652122,0.318,0.174,4.99434494609412e-09,"5","N4BP2L2"
"NAP1L11",2.60031046217153e-13,0.749276708747804,0.44,0.253,5.58130637600497e-09,"5","NAP1L1"
"BTF31",2.78480316153093e-13,0.601092475715418,0.503,0.279,5.97730150590998e-09,"5","BTF3"
"H3F3B1",2.9364230184651e-13,0.591176251343779,0.953,0.641,6.30273836683348e-09,"5","H3F3B"
"ARGLU11",3.41891192071771e-13,0.894557167838681,0.327,0.18,7.3383525466285e-09,"5","ARGLU1"
"UQCRB1",3.82952222815129e-13,0.686744736746463,0.421,0.229,8.21968651050393e-09,"5","UQCRB"
"SRP14",4.31410632330079e-13,0.447537048255699,0.695,0.371,9.25979781233283e-09,"5","SRP14"
"CD441",4.54159765178936e-13,0.826605690329702,0.569,0.369,9.74808519980069e-09,"5","CD44"
"HNRNPA31",5.30303661747081e-13,0.791478442160562,0.403,0.229,1.13824377957393e-08,"5","HNRNPA3"
"DDX17",6.97680709454944e-13,0.782076575866775,0.45,0.267,1.49750187477409e-08,"5","DDX17"
"LMNA1",1.01491877096961e-12,0.50998507671735,0.865,0.471,2.17842165000916e-08,"5","LMNA"
"HLA-C",1.9246495971237e-12,0.524848428533865,0.884,0.56,4.1310678952663e-08,"5","HLA-C"
"VIM2",2.03430691591937e-12,0.456431148507246,1,0.853,4.36643636432934e-08,"5","VIM"
"MBNL11",4.01253965550744e-12,0.830797363075812,0.45,0.264,8.61251511658118e-08,"5","MBNL1"
"CD991",4.11208607546198e-12,0.458924142249289,0.642,0.344,8.82618155237159e-08,"5","CD99"
"MYH91",4.21811432501554e-12,0.888080390215718,0.308,0.16,9.05376058721335e-08,"5","MYH9"
"SARAF",7.44095689019372e-12,0.950232548026619,0.292,0.16,1.59712698691118e-07,"5","SARAF"
"MCL1",1.27109220049055e-11,0.682161214425192,0.638,0.406,2.72827229913292e-07,"5","MCL1"
"REL1",3.57194950640494e-11,1.08831820925482,0.327,0.204,7.66683242054757e-07,"5","REL"
"CD741",1.54353759607215e-10,0.689655036049595,0.887,0.666,3.31304909620927e-06,"5","CD74"
"ATP2B11",2.61718860855312e-10,0.883285673022293,0.327,0.204,5.61753362939842e-06,"5","ATP2B1"
"PRPF4B",2.79019662776927e-10,1.00795197723247,0.252,0.138,5.98887804184397e-06,"5","PRPF4B"
"RSRP1",5.36441947606436e-10,0.922378541174146,0.283,0.166,1.15141899634245e-05,"5","RSRP1"
"SRSF7",1.29640084583106e-09,0.888558742124076,0.305,0.188,2.78259477549178e-05,"5","SRSF7"
"KMT2E",1.55015240218919e-09,0.833209962401837,0.261,0.151,3.32724711605888e-05,"5","KMT2E"
"PLCG2",3.05510988186186e-09,1.06987212362187,0.28,0.167,6.55748785042829e-05,"5","PLCG2"
"GLS",4.83553149825887e-09,0.839656127524492,0.28,0.168,0.000103789848078628,"5","GLS"
"CALD11",5.58290746211032e-09,0.275244879439444,0.55,0.287,0.000119831525766736,"5","CALD1"
"TPM4",6.3531420248759e-09,0.413201349727106,0.575,0.32,0.000136363840421936,"5","TPM4"
"LCP1",9.8933362938449e-09,0.588238178807641,0.252,0.138,0.000212350570211087,"5","LCP1"
"DDX241",1.03150166471137e-08,0.810574483541398,0.428,0.284,0.000221401517313649,"5","DDX24"
"JUND",1.1854416681067e-08,0.419806302103463,0.978,0.772,0.000254443199642423,"5","JUND"
"S100A112",1.28990992138866e-08,0.344297899211182,0.755,0.413,0.000276866265526861,"5","S100A11"
"PRPF38B",2.21408905175999e-08,0.875778639595628,0.258,0.155,0.000475232074069764,"5","PRPF38B"
"HNRNPA12",5.41622179180142e-08,0.614929641326183,0.336,0.204,0.00116253784539226,"5","HNRNPA1"
"ZFP36L2",6.28607196144647e-08,0.744096278749943,0.513,0.341,0.00134924248580487,"5","ZFP36L2"
"SLC2A32",1.05010136442756e-07,0.579700869101793,0.371,0.232,0.00225393756860732,"5","SLC2A3"
"FAM107B",1.96760517737763e-07,0.844300834582799,0.318,0.212,0.00422326775272335,"5","FAM107B"
"TSC22D3",2.80049317235226e-07,0.739701136014687,0.453,0.36,0.00601097854513689,"5","TSC22D3"
"SLC38A21",7.27333077145695e-07,0.652942601334425,0.403,0.272,0.0156114771678552,"5","SLC38A2"
"LDHA1",7.69763034787507e-07,0.379406679054846,0.465,0.285,0.0165221937786791,"5","LDHA"
"GOLGB1",9.18127112452191e-07,0.808493077339288,0.333,0.224,0.0197066803416738,"5","GOLGB1"
"PNISR",1.24455246909944e-06,0.735603771380952,0.292,0.198,0.0267130741967503,"5","PNISR"
"ATP5F1E",1.34646223065121e-06,0.307895259112422,0.896,0.551,0.0289004653186976,"5","ATP5F1E"
"OAZ1",1.68655269251862e-06,0.46600485540378,0.487,0.336,0.0362001669922198,"5","OAZ1"
"ANKRD11",1.70172764857268e-06,0.900884832286348,0.292,0.202,0.0365258822489641,"5","ANKRD11"
"SRRM1",2.72026712615139e-06,0.703464106406239,0.286,0.201,0.0583878135957133,"5","SRRM1"
"RPL36AL",2.98038462140893e-06,0.466559663935664,0.434,0.29,0.0639709755139213,"5","RPL36AL"
"PFN1",3.06908619823687e-06,0.451465804012989,0.393,0.264,0.0658748661589561,"5","PFN1"
"HNRNPK1",5.00769073500102e-06,0.381421976657425,0.447,0.294,0.107485073936062,"5","HNRNPK"
"TXNIP",6.00759786546977e-06,0.996229980810901,0.393,0.313,0.128947080584443,"5","TXNIP"
"HNRNPC1",7.10990235712245e-06,0.454338120119545,0.484,0.33,0.152606944193276,"5","HNRNPC"
"SRSF11",7.81114877083686e-06,0.742877301262048,0.274,0.188,0.167658497217242,"5","SRSF11"
